county,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
.Alameda County,1512986,1530915,1553764,1579593,1607792,1634538,1650950,1660196,1666756,1671329,1680380,1643837
.Alpine County,1161,1093,1110,1128,1080,1077,1047,1111,1089,1129,1204,1235
.Amador County,37886,37543,37104,36620,36726,37031,37429,38529,39405,39752,40532,41144
.Butte County,219949,219975,220869,221641,223516,224631,226231,228696,230339,219186,210135,206190
.Calaveras County,45468,45160,44815,44655,44671,44965,45322,45681,45698,45905,45346,46219
.Colusa County,21437,21323,21284,21250,21176,21231,21496,21579,21418,21547,21858,21913
.Contra Costa County,1052540,1065440,1077548,1093401,1108876,1124405,1137268,1145535,1150519,1153526,1165986,1163298
.Del Norte County,28566,28443,28190,27816,27175,27190,27382,27351,27740,27812,27601,27553
.El Dorado County,181136,180936,180575,181481,183108,184569,185976,188679,190746,192843,191220,193590
.Fresno County,932039,939406,945045,951514,960567,969488,976830,985238,991950,999101,1009503,1012992
.Glenn County,28127,28139,27851,27809,27831,27753,27840,27926,27967,28393,28896,28664
.Humboldt County,135009,135243,134572,134403,134494,135102,136290,136507,136244,135558,136261,134836
.Imperial County,174716,175786,176575,176438,177974,178937,180179,181649,181523,181215,179595,179215
.Inyo County,18511,18392,18351,18357,18292,18108,17922,17868,17946,18039,19001,18927
.Kern County,840996,847970,853606,862000,869176,876031,880856,887356,893758,900202,905828,912351
.Kings County,152370,151868,150991,150337,149495,150085,149382,149665,151382,152940,152790,152679
.Lake County,64735,64251,63954,63796,64044,64260,63903,64111,64317,64386,68195,68584
.Lassen County,34831,34246,33629,32129,31664,31256,30721,30920,30618,30573,32317,31813
.Los Angeles County,9823246,9876482,9935375,9992484,10040072,10085416,10105708,10103711,10073906,10039107,9992236,9811842
.Madera County,150986,151675,151527,151370,153456,153576,153956,155423,156882,157327,156343,158910
.Marin County,252904,255376,256061,258409,260359,260916,260562,259749,259662,258826,261282,259162
.Mariposa County,18277,18170,17881,17809,17714,17622,17456,17414,17405,17203,17118,17107
.Mendocino County,87799,87334,87288,87054,87225,87107,87285,87576,87401,86749,91361,91003
.Merced County,256721,259297,260867,262026,264419,266353,267628,271096,274151,277680,281814,284458
.Modoc County,9694,9509,9351,9145,9068,9056,8961,8876,8800,8841,8663,8571
.Mono County,14257,14422,14331,14067,14134,14077,14273,14354,14403,14444,13226,13261
.Monterey County,416373,420456,424788,426712,428475,430552,433953,434534,433950,434061,438390,437249
.Napa County,136759,137691,138538,139580,140405,140862,140840,139878,138789,137744,137485,136206
.Nevada County,98790,98701,98137,97938,98572,98676,98913,99367,99508,99755,102249,103457
.Orange County,3015171,3049271,3078068,3104950,3126537,3149280,3164986,3174289,3175973,3175692,3185516,3161005
.Placer County,350021,356328,360263,365398,369217,372841,378943,385115,392330,398329,405889,412789
.Plumas County,19914,19719,19377,18895,18622,18427,18665,18660,18741,18807,19749,19940
.Riverside County,2201576,2234070,2261204,2286755,2316162,2345816,2380081,2414964,2445789,2470546,2422847,2453178
.Sacramento County,1421383,1433730,1444852,1457341,1474917,1493674,1510987,1527301,1538746,1552058,1586465,1588106
.San Benito County,55516,55977,56599,57239,57825,58216,59225,60164,61467,62808,64521,66675
.San Bernardino County,2040848,2060827,2073512,2082738,2099181,2115411,2131960,2150945,2166753,2180085,2183239,2192882
.San Diego County,3103212,3137156,3174335,3209768,3248877,3280850,3306089,3321237,3333861,3338330,3296045,3274954
.San Francisco County,805505,815650,828876,839572,850750,863010,871512,878040,880696,881549,870393,811253
.San Joaquin County,687127,694354,699593,702046,711579,722271,732809,743296,752491,762148,780558,788140
.San Luis Obispo County,269802,271058,274160,275696,278227,280077,281803,282481,283354,283111,281879,279298
.San Mateo County,719699,728344,739224,748661,757204,765055,767906,768901,768681,766573,762511,739060
.Santa Barbara County,424231,425453,429699,434601,439045,442229,444340,445298,445780,446499,448244,437434
.Santa Clara County,1786040,1812054,1837853,1866425,1891753,1916285,1928368,1932510,1932337,1927852,1931026,1886595
.Santa Cruz County,263147,264858,266340,268816,270861,273503,274396,274856,273841,273213,270462,260495
.Shasta County,177274,177588,177875,178397,178844,178314,178571,179384,179709,180080,181984,181981
.Sierra County,3220,3098,3067,3028,2972,2985,2951,3002,2997,3005,3228,3295
.Siskiyou County,44938,44615,44079,43532,43338,43254,43376,43622,43550,43539,43991,44026
.Solano County,413967,416342,419674,423659,429006,433409,438858,443511,445725,447643,452698,450350
.Sonoma County,484755,487421,489993,494073,498560,500863,502547,502469,498643,494336,488281,484315
.Stanislaus County,515145,517560,520424,523451,528015,533211,539255,544717,548126,550660,553217,552851
.Sutter County,94751,94482,94189,94507,94778,95282,95742,96204,96348,96971,99464,99038
.Tehama County,63559,63331,63212,62875,62801,63158,63453,63847,64018,65084,65682,65380
.Trinity County,13755,13685,13489,13427,13128,13094,12828,12726,12567,12285,16089,16061
.Tulare County,442969,446784,449779,452460,455138,457161,459235,462308,464589,466195,473891,476946
.Tuolumne County,55190,54830,54221,53997,53851,53615,53770,53976,54387,54478,55374,55065
.Ventura County,825097,830099,833516,838136,842297,845802,847323,849044,848142,846006,843310,839358
.Yolo County,201073,201954,204576,206292,208398,212037,215627,218477,220118,220500,216291,213039
.Yuba County,72348,72489,72774,73090,73533,74045,74952,76578,77557,78668,81994,83216
